type,peak
A,0.074152
C,0.074152
A,0.076440
C,0.076440
A,0.064523
C,0.064523
A,0.076675
C,0.076675
A,0.061988
C,0.061988
A,0.077159
C,0.077159
A,0.058907
C,0.058907
A,0.062047
C,0.062047
A,0.073223
C,0.073223
A,0.090874
C,0.090874
A,0.078472
C,0.078472
A,0.076665
C,0.076665
A,0.060530
C,0.060530
A,0.076748
C,0.076748
A,0.061832
C,0.061832
A,0.078398
C,0.078398
A,0.074509
C,0.074509
A,0.073604
C,0.073604
A,0.083647
C,0.083647
A,0.068863
C,0.068863
A,0.066267
C,0.066267
A,0.071437
C,0.071437
A,0.080924
C,0.080924
A,0.067072
C,0.067072
A,0.073636
C,0.073636
A,0.084397
C,0.084397
A,0.063639
C,0.063639
A,0.087942
C,0.087942
A,0.075870
C,0.075870
A,0.081439
C,0.081439
A,0.079522
C,0.079522
A,0.078349
C,0.078349
A,0.072438
C,0.072438
A,0.080629
C,0.080629
A,0.065939
C,0.065939
A,0.083347
C,0.083347
A,0.073060
C,0.073060
A,0.073353
C,0.073353
A,0.069291
C,0.069291
